id,h_score,best_h_score,faithfulness,claim_coverage,contradiction,answer_relevance,rouge_l,retries,drift_rejected
5add1d575542992c1e3a2540,0.3507,0.3507,0.0,0.0,0.0,0.8029,0.0513,3,False
5ac55ea55542993e66e82377,0.6318,0.6318,0.8971,0.5,0.0,0.789,0.0345,3,False
5ac3a76e554299741d48a2be,0.8974,0.8974,0.7743,1.0,0.0,0.8603,0.0408,0,False
5a7133565542994082a3e65c,0.3342,0.3607,0.0,0.0,0.0,0.7368,0.037,3,False
5ac1a4745542991316484b82,0.8656,0.8656,0.9451,1.0,0.0,0.5281,0.1667,2,False
5adc597d55429947ff17392f,0.962,0.962,0.9936,1.0,0.0,0.8555,0.0,0,False
5ac55e835542993e66e82375,0.7905,0.7905,0.8903,0.75,0.0,0.8606,0.0408,0,False
5a8d9e0f554299441c6ba015,0.9268,0.9268,0.9947,1.0,0.0,0.7134,0.125,2,False
5ae70ed7554299572ea546a1,0.9132,0.9132,0.9952,1.0,0.0,0.6585,0.2,0,False
5a74a8fa55429929fddd8497,0.1655,0.3563,0.0,0.0,1.0,0.662,0.0,3,False
5a7cb94f554299683c1c6353,0.8543,0.8543,0.9843,1.0,0.0,0.436,0.8,3,False
5ab874ba5542990e739ec904,0.8741,0.8741,0.944,1.0,0.0,0.5634,0.6667,0,False
5ae3a8985542992f92d82329,0.9082,0.9082,0.9857,1.0,0.0,0.65,0.5,0,False
5ac39f7b554299218029dbe7,0.9134,0.9134,0.9077,1.0,0.0,0.7645,0.1277,2,False
5ae27b535542996483e649b6,0.4475,0.645,0.9854,0.3333,0.3333,0.5959,0.0541,3,False
5a7331de5542994cef4bc4a8,0.3526,0.5029,0.0,0.0,0.0,0.8105,0.1509,3,False
5ac15de55542991316484afb,0.1875,0.2894,0.0,0.0,1.0,0.7499,0.0,3,False
5a7c6c9d554299683c1c6302,0.3058,0.5085,0.0,0.0,0.0,0.6233,0.0417,3,False
5ae6363b55429929b0807af0,0.8668,0.8668,0.9956,1.0,0.0,0.4723,0.1667,1,False
5a8cea40554299441c6b9f76,0.3643,0.365,0.0,0.0,0.0,0.8574,0.1538,3,False
5ab5ecd75542992aa134a3e6,0.0981,0.0981,0.0,0.0,1.0,0.3924,1.0,3,False
5a84c5545542991dd0999dee,0.3275,0.3288,0.0,0.0,0.0,0.7101,0.0,3,False
5adeacf955429975fa854f66,0.2961,0.3027,0.0,0.0,0.3333,0.7845,0.0396,3,False
5a8ce15d554299653c1aa12f,0.3072,0.3547,0.0,0.0,0.25,0.7789,0.0,3,False
5ade4da055429939a52fe878,0.5889,0.5889,0.9882,0.5,0.0,0.5627,0.0,3,False
5ab2a186554299295394677b,0.8657,0.8657,0.6769,1.0,0.0,0.8504,0.0,0,False
5ade66e1554299728e26c713,0.4165,0.4165,0.6261,0.1667,0.0,0.7407,0.0364,3,False
5a7c634c55429907fabeef79,0.499,0.499,0.9023,0.25,0.0,0.8255,0.0851,3,False
5ae13f3c5542997b2ef7d168,0.2869,0.3279,0.0,0.0,0.3333,0.7476,0.0308,3,False
5ab2e8ad554299340b525562,0.9599,0.9599,0.9965,1.0,0.0,0.8437,0.2222,0,False
